PaymentId,NumberOfPayments
175,1
70,1
19,3
259,6
115,4
256,5
255,5
219,2
69,1
85,3
64,3
198,4
276,3
43,6
7,1
102,4
225,4
213,4
228,1
104,4
190,2
169,2
75,5
239,4
215,6
212,3
42,2
279,5
130,4
55,3
199,5
176,6
112,5
272,2
258,5
293,2
247,2
84,2
233,5
210,6
229,3
127,4
262,6
246,2
103,1
156,3
73,6
251,1
101,5
171,1
254,2
254,6
42,2
168,1
243,4
285,3
79,2
130,3
294,2
30,4
185,4
263,6
220,1
12,2
227,2
125,6
166,3
160,2
278,4
295,2
296,3
25,2
197,1
183,5
50,5
271,3
205,4
69,2
64,2
49,2
254,3
188,6
1,3
189,2
253,6
261,1
110,1
51,6
3,4
139,4
211,4
190,5
66,2
298,4
115,1
295,4
94,5
150,6
4,3
180,4
