activityId,category,season,title
1,Drama,autumn,Indian Summer (a.k.a. The Professor) (La prima notte di quiete)
2,Children|Comedy|Musical,summer,Ricky Rapper and the Bicycle Thief (Risto Räppääjä ja polkupyörävaras)
3,Drama|Mystery|Thriller,autumn,Lake Mungo
4,Drama|Romance,summer,Love Loves Coincidences
5,Crime|Thriller,autumn,Running Time
6,Drama,spring,Evelyn
7,Drama,winter,"Sadness of Sex, The"
8,Children,summer,Rasmus på luffen
9,Comedy|Drama|Romance,winter,Molière
10,Action|Sci-Fi|Thriller,autumn,Halo 4: Forward Unto Dawn
11,Comedy,autumn,Crazy People
12,(no genres listed),autumn,Nom de code : Rose
13,Horror|Sci-Fi,autumn,The Facility
14,Children|Comedy|Fantasy,spring,Miss Minoes
15,Comedy,autumn,Trailer Park Boys: Live at the North Pole
16,Drama,winter,"Cure, The"
17,Drama|Thriller,winter,Death and the Maiden
18,Horror|Thriller,spring,Cabin Fever 2: Spring Fever
19,Drama,autumn,Harakiri
20,Drama,autumn,Honor Among Lovers
21,Comedy,autumn,Meatballs III
22,Adventure|Children,autumn,Shipwrecked (a.k.a. Haakon Haakonsen)
23,Drama,spring,Return
24,Animation|Musical,autumn,Fiddle-de-dee
25,Drama|Horror,summer,Wendigo
26,Drama,autumn,"City of Sadness, A (Bei qing cheng shi)"
27,Action|Sci-Fi,summer,"Blood of Heroes, The (Salute of the Jugger, The)"
28,Drama|Mystery,autumn,Keyhole
29,Drama,winter,Manito
30,Crime|Drama,spring,Japanese Summer: Double Suicide (Muri shinjû: Nihon no natsu)
