workerId,activityId
12,25
74,5
6,10
56,5
94,27
54,23
62,18
53,4
51,10
70,16
57,4
99,20
95,16
55,10
28,27
28,25
29,14
55,18
74,20
41,20
42,22
44,2
80,28
81,15
27,28
94,3
55,6
16,6
63,25
56,15
46,15
32,5
3,22
68,11
40,24
13,9
53,6
50,16
10,5
15,1
80,12
46,8
46,27
45,4
66,1
59,4
59,30
33,12
29,9
25,5
37,23
55,17
81,30
51,21
74,16
98,13
79,16
30,5
22,27
100,9
37,15
80,18
24,18
77,18
85,5
73,13
35,29
25,5
19,7
100,18
100,10
30,19
7,18
17,20
36,10
26,29
46,28
78,28
80,25
56,16
52,18
42,6
27,11
55,3
6,3
22,19
25,18
17,22
80,11
97,4
5,1
7,27
74,16
90,15
92,22
54,23
99,16
2,5
72,6
90,22
