customerId,points,JoinDate
1,465,6/1/2022
2,193,23/5/2021
3,140,11/10/2021
4,228,12/5/2021
5,342,20/7/2021
6,87,21/4/2022
7,376,6/8/2021
8,88,7/8/2021
9,443,11/3/2022
10,427,17/3/2022
11,477,23/3/2022
12,190,30/9/2021
13,8,11/11/2021
14,351,3/10/2021
15,205,12/5/2021
16,204,25/8/2021
17,62,25/12/2021
18,91,10/11/2021
19,419,12/12/2021
20,212,9/2/2022
21,81,17/2/2022
22,224,18/4/2022
23,214,14/5/2021
24,261,9/3/2022
25,352,24/9/2021
26,428,31/12/2021
27,44,26/12/2021
28,316,6/12/2021
29,115,15/6/2021
30,264,7/1/2022
31,404,1/10/2021
32,92,4/12/2021
33,12,31/8/2021
34,318,27/3/2022
35,149,9/1/2022
36,108,26/12/2021
37,173,4/6/2021
38,257,1/10/2021
39,495,25/2/2022
40,438,23/5/2021
41,425,22/5/2021
42,56,4/4/2022
43,138,7/8/2021
44,343,25/2/2022
45,6,22/4/2022
46,256,17/6/2021
47,186,28/2/2022
48,100,26/11/2021
49,69,23/12/2021
50,50,15/3/2022
51,211,10/11/2021
52,77,4/2/2022
53,142,2/4/2022
54,71,28/1/2022
55,424,10/4/2022
56,215,20/2/2022
57,352,7/10/2021
58,154,26/5/2021
59,305,30/11/2021
60,499,30/5/2021
61,464,3/1/2022
62,326,5/9/2021
63,85,8/3/2022
64,393,13/10/2021
65,279,6/1/2022
66,485,3/1/2022
67,267,21/7/2021
68,137,24/11/2021
69,96,1/6/2021
70,231,27/10/2021
71,155,3/9/2021
72,337,3/10/2021
73,36,9/8/2021
74,115,10/12/2021
75,267,18/11/2021
76,127,4/2/2022
77,284,26/8/2021
78,218,11/12/2021
79,253,4/5/2021
80,469,3/12/2021
81,278,18/2/2022
82,464,10/10/2021
83,294,25/7/2021
84,115,24/3/2022
85,314,9/7/2021
86,464,15/6/2021
87,492,22/3/2022
88,114,27/1/2022
89,162,17/12/2021
90,391,21/9/2021
91,99,4/9/2021
92,487,25/1/2022
93,410,19/9/2021
94,238,1/5/2021
95,161,28/10/2021
96,92,21/1/2022
97,451,28/10/2021
98,433,19/5/2021
99,383,22/7/2021
100,380,25/1/2022
