activityId,customerId,paymentId,canceled 
18,23,79,false
21,206,457,true
13,96,305,false
7,49,346,true
28,232,108,false
12,50,452,true
28,29,472,false
25,19,10,false
22,131,53,true
19,298,130,false
26,236,272,false
10,228,83,true
26,176,35,true
2,210,430,false
26,72,38,true
19,32,398,false
26,128,303,false
27,244,93,false
5,48,229,true
6,280,282,true
8,41,197,false
15,106,230,true
2,129,365,false
23,221,459,true
12,276,156,true
13,65,162,false
24,230,16,true
11,34,122,true
6,190,364,false
1,52,211,true
27,110,312,false
30,151,24,true
16,34,179,true
5,247,475,true
5,1,318,true
22,209,490,false
1,266,180,false
16,277,333,true
16,206,116,false
16,6,243,false
30,137,262,false
3,114,354,true
15,111,15,true
25,133,2,false
30,216,335,true
19,95,137,true
20,141,418,false
15,183,303,true
16,215,290,false
11,126,218,true
27,149,366,false
29,214,264,false
23,125,108,true
28,76,232,true
11,142,488,true
8,148,401,true
11,176,483,true
10,275,357,false
6,43,216,true
23,188,441,false
15,254,139,false
12,41,495,true
28,277,46,false
20,18,69,false
25,253,313,true
6,254,500,false
2,113,169,true
13,169,234,false
29,173,139,false
21,138,1,true
16,258,161,false
8,59,492,true
7,187,187,false
21,235,310,true
29,111,407,true
3,101,34,true
14,218,356,false
22,228,283,false
10,30,477,true
11,57,300,false
16,29,129,false
26,276,498,false
29,215,460,false
15,164,450,true
15,265,321,true
4,85,283,true
1,40,95,true
25,283,166,false
27,23,95,true
3,13,320,false
18,10,498,false
22,156,264,false
4,16,405,true
24,141,181,true
29,169,418,true
18,151,177,true
9,2,87,true
25,32,279,false
1,245,84,true
17,9,455,true
20,76,182,true
19,290,247,true
9,282,102,true
1,175,396,false
20,191,343,true
16,152,397,true
9,66,480,true
24,146,436,false
12,90,386,false
27,146,278,false
17,212,342,false
28,33,310,false
29,46,55,false
25,38,476,true
2,291,60,true
17,117,236,false
20,192,315,false
18,254,209,true
26,59,497,true
12,12,488,false
6,195,213,true
8,93,427,true
1,119,94,false
24,256,155,true
29,279,339,true
28,212,172,true
19,30,142,true
14,299,359,true
26,82,444,false
27,155,325,true
28,298,25,false
22,63,470,false
8,75,497,false
14,235,461,true
20,165,253,true
9,81,135,false
4,155,398,true
26,132,184,true
12,95,444,false
13,296,328,false
11,172,71,false
22,260,94,false
4,273,372,true
26,286,15,true
21,271,431,false
17,221,397,true
28,102,179,false
5,243,298,false
8,110,321,false
10,242,307,false
14,251,109,true
19,22,74,true
20,164,40,true
26,178,407,false
21,133,15,true
19,210,292,false
3,209,90,true
16,264,65,false
9,135,104,true
18,116,212,true
5,42,188,false
16,238,405,true
1,106,200,false
21,128,434,true
26,145,320,true
3,96,289,false
20,36,354,false
11,211,434,true
18,280,409,true
18,1,496,true
14,240,452,false
17,170,78,true
14,113,316,false
27,205,496,true
26,284,326,false
19,65,156,true
28,292,220,true
2,74,35,true
5,209,76,true
22,74,173,false
18,126,208,false
16,269,263,false
3,54,180,false
28,55,275,false
11,280,186,false
12,180,42,false
28,240,127,true
23,163,134,false
9,36,55,true
17,174,26,false
5,42,291,false
8,144,254,false
10,245,431,false
5,131,284,true
20,9,448,true
16,35,14,true
7,36,264,true
19,295,306,true
18,96,203,false
16,28,228,false
29,274,384,true
21,223,155,false
5,271,351,false
23,300,180,false
26,219,87,false
14,146,474,true
8,106,10,false
8,239,349,false
22,41,459,true
9,53,460,true
21,162,110,true
18,126,17,true
17,71,288,true
6,272,396,true
1,32,253,true
1,39,184,true
27,45,249,false
13,168,264,true
29,33,71,false
30,221,472,true
24,175,353,true
8,111,361,false
17,7,168,true
30,80,213,false
19,283,84,true
2,181,463,false
15,7,138,true
11,117,71,true
16,183,135,false
10,19,112,false
21,172,146,true
18,226,419,true
8,203,339,false
11,102,316,true
22,294,328,false
10,107,379,true
10,171,352,false
29,246,479,false
28,61,20,false
13,271,76,true
2,192,289,true
6,121,155,true
22,254,385,true
22,283,315,false
16,287,315,false
20,43,44,false
1,200,10,false
2,26,313,false
16,80,4,false
2,170,207,false
3,72,27,true
1,190,18,true
28,255,189,false
8,225,166,true
26,193,174,false
24,247,360,false
17,43,388,false
26,25,157,true
5,123,197,false
3,272,330,true
24,290,259,false
28,140,113,false
18,211,439,false
12,185,34,true
30,53,55,false
8,2,400,false
11,128,491,false
1,70,335,true
16,262,404,true
22,131,157,false
22,5,326,false
9,261,193,false
25,244,316,false
22,277,183,false
23,218,461,false
1,178,492,true
7,285,449,true
2,23,289,true
14,214,112,true
7,72,52,true
16,212,334,true
28,287,478,true
5,34,476,true
15,168,31,true
13,9,118,false
7,250,278,true
4,108,174,false
8,25,104,true
7,221,315,true
20,20,121,true
17,238,368,false
22,56,260,true
29,27,217,true
30,58,252,true
6,221,278,false
5,23,107,false
8,94,103,true
27,282,213,true
12,116,374,false
5,175,370,true
3,286,36,false
8,126,474,true
25,86,423,false
19,193,437,false
9,245,307,false
11,228,399,false
30,38,11,true
29,186,139,false
3,299,479,false
23,220,348,true
15,275,181,false
17,274,286,false
29,179,197,true
7,91,268,true
6,284,176,false
6,241,71,false
26,174,500,false
2,208,239,false
17,9,78,false
4,290,267,true
6,17,182,false
5,4,107,true
3,133,65,true
3,207,204,false
1,39,43,true
4,57,230,true
11,5,139,true
16,201,33,false
27,21,182,false
18,126,378,false
5,107,61,true
11,281,300,true
25,214,258,false
26,67,143,false
8,25,167,true
21,165,171,true
30,71,204,true
7,7,435,false
3,163,116,false
5,113,59,true
18,39,168,false
29,271,69,false
6,292,430,true
23,149,30,false
1,68,368,false
11,115,457,false
7,195,232,true
8,32,291,false
17,179,455,false
9,171,317,true
4,224,443,false
9,241,402,false
10,234,6,false
