activityId,customerId,canceled 
15,87,true
13,257,false
30,96,true
27,221,true
19,278,false
17,181,false
28,214,false
16,243,true
9,262,true
8,142,true
26,202,false
5,245,false
10,184,true
12,158,false
2,188,false
1,206,false
17,201,true
22,149,false
19,116,true
18,133,false
22,230,true
28,280,false
18,150,false
21,103,false
7,138,false
12,211,true
17,172,false
5,271,false
29,13,false
13,292,true
12,33,false
24,300,true
15,45,true
20,146,false
21,228,false
18,33,true
24,97,false
3,242,true
19,152,true
6,14,false
14,116,false
2,271,false
29,136,false
9,160,true
7,64,true
26,278,false
23,99,true
17,210,true
16,241,false
7,205,false
2,74,true
15,77,false
17,6,false
2,221,true
10,192,false
5,265,true
10,49,false
17,6,false
26,207,true
29,293,true
1,113,true
25,90,false
8,121,false
2,226,true
17,225,false
24,218,false
19,30,true
18,192,false
13,113,false
15,59,false
4,45,true
18,186,true
21,198,false
7,185,false
21,90,true
6,102,false
17,60,true
7,21,true
15,229,true
23,273,true
10,188,true
20,140,false
9,274,false
26,56,true
27,261,true
2,79,true
24,66,false
26,111,true
14,171,false
3,156,true
17,219,false
16,42,true
6,34,true
27,198,false
26,259,false
19,133,false
19,95,true
19,241,true
2,130,true
2,94,true
21,266,true
21,254,true
19,223,true
27,64,false
9,231,false
9,262,true
21,285,false
27,235,true
19,89,true
4,195,true
26,290,false
16,286,false
29,64,true
3,22,true
30,34,false
27,288,false
2,91,false
8,192,false
29,224,true
9,6,true
16,69,false
26,250,false
15,64,true
27,140,true
10,213,false
3,4,false
5,149,true
26,179,false
6,273,false
20,185,true
24,108,true
9,173,true
15,143,true
25,127,false
17,206,true
2,247,true
18,131,false
17,177,true
21,112,false
28,159,true
4,138,true
7,267,true
12,231,false
1,151,true
4,108,true
10,275,false
15,97,true
14,245,false
16,46,true
27,127,true
16,71,false
6,95,false
3,196,false
13,60,true
30,63,false
6,72,false
1,205,true
22,291,true
29,214,false
11,72,false
20,266,true
9,221,false
12,20,false
16,48,true
12,5,true
18,251,false
20,289,false
25,71,false
3,215,true
20,235,false
10,295,false
26,98,false
2,267,true
5,33,false
9,164,true
16,114,true
22,202,false
11,61,false
12,60,false
21,24,false
21,21,false
19,171,false
7,36,true
14,50,false
6,297,false
1,112,true
13,84,true
29,1,false
5,53,false
6,124,true
7,72,true
12,219,true
27,175,true
29,213,false
5,92,true
7,269,true
5,51,true
26,236,true
6,249,false
10,196,false
20,199,false
29,76,true
3,40,true
3,130,true
10,224,true
8,152,true
4,223,false
17,281,true
26,128,true
20,210,true
19,241,true
25,294,false
30,69,false
11,88,false
14,33,true
5,116,false
9,213,false
26,79,false
20,295,false
11,147,true
23,95,false
9,18,true
4,109,false
29,149,true
5,13,false
11,289,true
14,42,false
19,36,true
5,90,true
11,48,false
9,140,true
26,243,true
20,292,true
17,217,false
17,45,false
9,233,true
3,151,false
16,166,true
20,239,true
24,157,false
14,101,true
4,160,true
19,63,false
25,230,true
19,64,true
26,18,true
1,96,false
12,79,true
4,259,false
28,39,false
7,215,false
23,217,false
23,179,true
7,139,false
16,88,true
23,197,false
6,280,true
19,151,false
9,236,true
30,79,true
20,6,false
21,7,false
6,70,false
23,223,false
15,87,true
30,224,false
27,203,false
14,274,false
24,105,true
15,152,true
14,90,true
1,261,false
15,49,false
22,264,true
16,91,false
25,91,true
19,8,true
19,94,false
23,144,false
24,150,true
11,112,true
1,218,false
7,69,true
26,166,false
4,85,false
22,76,true
29,65,false
10,160,false
25,230,true
10,173,false
20,213,true
14,129,false
10,296,false
12,82,true
26,15,false
16,1,true
24,141,true
24,4,true
15,50,false
23,300,true
27,33,false
29,159,false
22,250,false
24,125,true
13,253,false
1,219,true
27,166,true
4,78,true
30,234,false
28,203,false
4,85,false
20,66,false
4,240,true
8,154,false
4,175,false
24,298,true
25,51,false
1,41,true
17,29,false
26,47,true
22,220,false
26,122,true
29,100,true
29,129,false
1,186,false
2,89,true
20,300,false
26,83,false
7,242,false
8,224,false
2,151,true
6,130,true
10,203,false
2,68,false
13,187,false
13,193,true
6,42,false
12,225,false
16,151,false
12,149,false
24,117,false
26,130,true
26,155,false
10,203,false
28,19,false
13,103,false
5,216,true
23,19,false
18,87,true
6,65,true
23,259,false
4,174,false
1,130,true
7,84,false
14,98,true
24,288,false
25,47,true
25,136,true
19,48,false
19,223,false
11,130,true
7,225,false
29,32,false
15,40,true
13,110,true
27,287,false
19,172,true
30,236,true
10,117,false
15,182,false
23,80,true
15,81,false
1,94,true
3,24,true
28,155,false
3,203,false
8,77,true
25,185,false
8,118,false
21,88,false
20,295,true
14,174,false
30,165,false
10,99,false
20,83,true
25,283,false
16,276,true
5,25,false
9,294,true
27,147,false
24,247,true
4,173,false
12,144,true
18,228,false
2,288,false
18,38,true
26,210,false
23,240,true
11,272,true
22,280,true
1,130,false
5,157,true
6,153,false
11,25,false
1,140,false
12,119,false
16,280,false
9,115,false
5,132,false
18,188,true
28,139,true
18,25,false
18,18,true
25,183,true
7,19,true
8,208,false
3,256,true
1,35,true
22,44,false
17,231,false
7,166,false
15,122,true
11,11,false
15,261,true
5,156,false
29,123,false
11,188,true
13,286,true
20,89,false
15,69,true
24,86,true
24,287,false
2,180,true
23,135,true
12,58,false
8,237,false
12,71,true
16,273,false
1,229,false
29,153,true
7,43,false
23,187,true
21,22,true
14,140,false
10,85,true
6,180,false
2,26,true
11,201,false
23,157,true
15,276,false
25,71,false
25,160,true
4,49,true
11,79,true
10,130,false
21,32,false
26,238,true
15,149,true
25,14,false
15,291,true
15,170,false
11,199,false
23,54,false
5,149,true
26,74,false
24,264,true
4,152,false
30,227,false
21,217,true
20,73,true
30,65,false
22,134,false
26,154,true
17,40,true
22,148,true
1,115,true
29,163,true
24,273,false
27,178,true
4,110,false
8,8,true
18,271,false
13,94,true
14,220,true
3,90,true
19,82,false
2,123,false
3,297,true
10,108,true
1,222,true
8,262,false
6,298,true
18,175,false
24,62,false
26,113,true
29,145,false
9,207,true
1,197,false
20,156,false
26,245,true
