id,customerId,amount,dutyDate,paymentDate
1,623,748,6/3/2022,19/3/2022
2,595,966,4/3/2022,18/3/2022
3,145,475,8/3/2022,16/3/2022
4,124,626,6/3/2022,23/3/2022
5,392,1333,2/3/2022,15/3/2022
6,532,1348,1/3/2022,24/3/2022
7,529,531,6/3/2022,14/3/2022
8,194,1232,4/3/2022,14/3/2022
9,462,1064,5/3/2022,18/3/2022
10,421,638,5/3/2022,17/3/2022
11,513,385,8/3/2022,18/3/2022
12,191,792,9/3/2022,10/3/2022
13,591,723,2/3/2022,12/3/2022
14,469,1379,5/3/2022,17/3/2022
15,378,558,2/3/2022,11/3/2022
16,529,771,7/3/2022,15/3/2022
17,498,1461,9/3/2022,10/3/2022
18,629,373,8/3/2022,16/3/2022
19,491,1293,9/3/2022,17/3/2022
20,442,1075,2/3/2022,21/3/2022
21,176,1162,9/3/2022,12/3/2022
22,339,964,5/3/2022,17/3/2022
23,427,1492,8/3/2022,19/3/2022
24,245,1249,8/3/2022,20/3/2022
25,366,466,9/3/2022,11/3/2022
26,397,499,4/3/2022,17/3/2022
27,146,749,3/3/2022,14/3/2022
28,294,1194,5/3/2022,18/3/2022
29,665,1065,8/3/2022,14/3/2022
30,345,1180,4/3/2022,22/3/2022
31,244,880,9/3/2022,16/3/2022
32,349,904,5/3/2022,15/3/2022
33,505,1186,7/3/2022,21/3/2022
34,509,1320,7/3/2022,19/3/2022
35,228,927,8/3/2022,10/3/2022
36,237,1256,2/3/2022,22/3/2022
37,176,976,6/3/2022,11/3/2022
38,353,409,8/3/2022,16/3/2022
39,341,1420,1/3/2022,18/3/2022
40,665,833,3/3/2022,24/3/2022
41,166,1087,2/3/2022,24/3/2022
42,469,1348,1/3/2022,21/3/2022
43,60,1045,4/3/2022,16/3/2022
44,95,1286,4/3/2022,13/3/2022
45,441,917,5/3/2022,20/3/2022
46,284,832,3/3/2022,23/3/2022
47,207,906,7/3/2022,16/3/2022
48,434,1379,5/3/2022,25/3/2022
49,158,680,9/3/2022,23/3/2022
50,551,1215,5/3/2022,16/3/2022
51,72,1054,6/3/2022,17/3/2022
52,494,468,3/3/2022,12/3/2022
53,152,812,5/3/2022,24/3/2022
54,489,356,1/3/2022,22/3/2022
55,31,847,6/3/2022,22/3/2022
56,475,1223,4/3/2022,20/3/2022
57,221,1200,1/3/2022,25/3/2022
58,239,1043,1/3/2022,25/3/2022
59,562,1132,7/3/2022,11/3/2022
60,523,1082,7/3/2022,20/3/2022
61,485,1007,7/3/2022,14/3/2022
62,214,591,8/3/2022,16/3/2022
63,458,1255,8/3/2022,25/3/2022
64,247,579,2/3/2022,19/3/2022
65,648,359,1/3/2022,24/3/2022
66,503,1051,9/3/2022,13/3/2022
67,45,870,9/3/2022,15/3/2022
68,326,1100,4/3/2022,17/3/2022
69,95,1192,2/3/2022,11/3/2022
70,363,625,2/3/2022,10/3/2022
71,575,328,4/3/2022,20/3/2022
72,579,364,8/3/2022,13/3/2022
73,165,749,9/3/2022,12/3/2022
74,351,380,7/3/2022,22/3/2022
75,263,1441,3/3/2022,21/3/2022
76,205,1034,3/3/2022,23/3/2022
77,45,1180,1/3/2022,12/3/2022
78,378,1311,6/3/2022,23/3/2022
79,559,1467,1/3/2022,23/3/2022
80,693,435,5/3/2022,10/3/2022
81,437,971,8/3/2022,12/3/2022
82,481,1046,4/3/2022,11/3/2022
83,688,537,3/3/2022,21/3/2022
84,467,1436,7/3/2022,20/3/2022
85,478,697,6/3/2022,19/3/2022
86,559,816,3/3/2022,18/3/2022
87,546,328,5/3/2022,14/3/2022
88,357,1289,4/3/2022,17/3/2022
89,13,315,7/3/2022,20/3/2022
90,310,814,2/3/2022,16/3/2022
91,437,605,1/3/2022,13/3/2022
92,593,1477,5/3/2022,14/3/2022
93,164,1236,3/3/2022,18/3/2022
94,209,982,6/3/2022,20/3/2022
95,228,1341,1/3/2022,16/3/2022
96,31,375,7/3/2022,19/3/2022
97,302,674,9/3/2022,21/3/2022
98,657,1011,6/3/2022,17/3/2022
99,332,1415,5/3/2022,13/3/2022
100,31,875,3/3/2022,25/3/2022
101,684,976,1/3/2022,23/3/2022
102,507,1246,6/3/2022,17/3/2022
103,353,1267,9/3/2022,15/3/2022
104,418,761,4/3/2022,16/3/2022
105,206,1067,9/3/2022,24/3/2022
106,640,1184,2/3/2022,19/3/2022
107,285,1210,5/3/2022,20/3/2022
108,179,741,5/3/2022,23/3/2022
109,334,585,6/3/2022,22/3/2022
110,14,1107,5/3/2022,24/3/2022
111,685,1273,2/3/2022,14/3/2022
112,680,1167,8/3/2022,16/3/2022
113,371,1351,6/3/2022,21/3/2022
114,603,792,6/3/2022,16/3/2022
115,53,585,3/3/2022,14/3/2022
116,173,1424,9/3/2022,13/3/2022
117,109,1375,1/3/2022,25/3/2022
118,56,617,3/3/2022,24/3/2022
119,601,1060,6/3/2022,11/3/2022
120,584,409,3/3/2022,22/3/2022
121,200,1487,9/3/2022,19/3/2022
122,411,799,1/3/2022,12/3/2022
123,206,1323,8/3/2022,11/3/2022
124,421,1448,9/3/2022,19/3/2022
125,412,459,3/3/2022,12/3/2022
126,275,477,8/3/2022,14/3/2022
127,429,953,8/3/2022,13/3/2022
128,663,562,1/3/2022,20/3/2022
129,507,1051,1/3/2022,25/3/2022
130,533,838,9/3/2022,19/3/2022
131,66,1388,9/3/2022,22/3/2022
132,441,1042,1/3/2022,23/3/2022
133,433,719,1/3/2022,13/3/2022
134,525,1276,4/3/2022,24/3/2022
135,228,818,3/3/2022,14/3/2022
136,182,692,5/3/2022,17/3/2022
137,678,456,4/3/2022,18/3/2022
138,165,576,9/3/2022,10/3/2022
139,499,1049,6/3/2022,12/3/2022
140,526,979,3/3/2022,21/3/2022
141,409,846,9/3/2022,20/3/2022
142,391,1024,4/3/2022,13/3/2022
143,155,736,2/3/2022,25/3/2022
144,452,638,1/3/2022,22/3/2022
145,88,963,4/3/2022,15/3/2022
146,486,450,7/3/2022,14/3/2022
147,402,1030,3/3/2022,23/3/2022
148,285,952,5/3/2022,21/3/2022
149,57,1419,9/3/2022,24/3/2022
150,531,1408,6/3/2022,10/3/2022
151,353,1136,3/3/2022,25/3/2022
152,280,626,8/3/2022,16/3/2022
153,326,494,2/3/2022,10/3/2022
154,334,1437,1/3/2022,17/3/2022
155,295,1331,9/3/2022,20/3/2022
156,252,382,3/3/2022,17/3/2022
157,476,651,1/3/2022,24/3/2022
158,461,1369,9/3/2022,20/3/2022
159,681,466,2/3/2022,19/3/2022
160,343,1229,3/3/2022,12/3/2022
161,2,1244,5/3/2022,17/3/2022
162,543,818,6/3/2022,10/3/2022
163,7,1484,6/3/2022,21/3/2022
164,350,1017,2/3/2022,24/3/2022
165,162,368,1/3/2022,13/3/2022
166,110,353,7/3/2022,24/3/2022
167,420,1492,2/3/2022,13/3/2022
168,566,984,9/3/2022,21/3/2022
169,387,1041,4/3/2022,21/3/2022
170,66,1113,9/3/2022,22/3/2022
171,446,406,8/3/2022,13/3/2022
172,91,472,7/3/2022,14/3/2022
173,515,524,2/3/2022,24/3/2022
174,357,744,3/3/2022,24/3/2022
175,295,990,7/3/2022,13/3/2022
176,4,951,9/3/2022,24/3/2022
177,346,658,7/3/2022,21/3/2022
178,593,1220,1/3/2022,10/3/2022
179,359,1456,4/3/2022,18/3/2022
180,653,722,3/3/2022,17/3/2022
181,83,1492,1/3/2022,17/3/2022
182,172,621,5/3/2022,23/3/2022
183,486,1418,9/3/2022,20/3/2022
184,619,574,4/3/2022,23/3/2022
185,485,838,4/3/2022,24/3/2022
186,65,718,5/3/2022,10/3/2022
187,112,326,1/3/2022,16/3/2022
188,517,916,9/3/2022,15/3/2022
189,578,395,7/3/2022,17/3/2022
190,185,1041,5/3/2022,16/3/2022
191,185,549,3/3/2022,13/3/2022
192,136,1141,7/3/2022,25/3/2022
193,670,1274,5/3/2022,19/3/2022
194,87,584,2/3/2022,19/3/2022
195,644,432,3/3/2022,14/3/2022
196,495,1203,2/3/2022,10/3/2022
197,177,1109,5/3/2022,25/3/2022
198,661,894,1/3/2022,13/3/2022
199,616,1326,4/3/2022,19/3/2022
200,637,689,6/3/2022,10/3/2022
201,484,797,3/3/2022,24/3/2022
202,615,538,1/3/2022,13/3/2022
203,26,480,6/3/2022,23/3/2022
204,85,915,3/3/2022,24/3/2022
205,83,1226,3/3/2022,16/3/2022
206,430,526,1/3/2022,13/3/2022
207,460,930,9/3/2022,10/3/2022
208,227,1076,8/3/2022,22/3/2022
209,488,1052,5/3/2022,16/3/2022
210,667,1058,1/3/2022,23/3/2022
211,618,806,2/3/2022,21/3/2022
212,158,1420,6/3/2022,25/3/2022
213,609,903,5/3/2022,24/3/2022
214,684,553,8/3/2022,14/3/2022
215,468,910,8/3/2022,25/3/2022
216,587,915,3/3/2022,24/3/2022
217,358,1327,1/3/2022,10/3/2022
218,514,789,3/3/2022,14/3/2022
219,132,1266,9/3/2022,22/3/2022
220,579,800,2/3/2022,17/3/2022
221,138,973,9/3/2022,24/3/2022
222,658,1093,7/3/2022,23/3/2022
223,511,718,5/3/2022,21/3/2022
224,173,1172,6/3/2022,12/3/2022
225,57,886,3/3/2022,22/3/2022
226,3,435,8/3/2022,19/3/2022
227,319,1394,8/3/2022,12/3/2022
228,10,1028,1/3/2022,25/3/2022
229,654,363,9/3/2022,10/3/2022
230,68,620,1/3/2022,21/3/2022
231,593,1092,8/3/2022,11/3/2022
232,662,672,6/3/2022,18/3/2022
233,386,1214,4/3/2022,22/3/2022
234,85,490,3/3/2022,17/3/2022
235,551,1241,5/3/2022,10/3/2022
236,101,756,2/3/2022,20/3/2022
237,313,607,3/3/2022,14/3/2022
238,266,544,8/3/2022,24/3/2022
239,74,957,1/3/2022,12/3/2022
240,469,798,6/3/2022,16/3/2022
241,261,830,9/3/2022,11/3/2022
242,173,1118,5/3/2022,24/3/2022
243,44,1114,5/3/2022,15/3/2022
244,349,1148,5/3/2022,18/3/2022
245,195,802,4/3/2022,14/3/2022
246,612,713,7/3/2022,25/3/2022
247,520,370,2/3/2022,18/3/2022
248,122,1116,7/3/2022,13/3/2022
249,235,1171,6/3/2022,11/3/2022
250,9,1025,2/3/2022,20/3/2022
251,484,1285,4/3/2022,21/3/2022
252,196,1369,3/3/2022,18/3/2022
253,155,646,9/3/2022,24/3/2022
254,518,1149,5/3/2022,24/3/2022
255,376,781,3/3/2022,10/3/2022
256,84,1476,3/3/2022,12/3/2022
257,121,893,9/3/2022,21/3/2022
258,421,1023,9/3/2022,23/3/2022
259,75,989,5/3/2022,21/3/2022
260,34,818,9/3/2022,14/3/2022
261,393,338,1/3/2022,17/3/2022
262,440,436,5/3/2022,14/3/2022
263,289,1025,6/3/2022,21/3/2022
264,38,488,4/3/2022,23/3/2022
265,284,1245,5/3/2022,11/3/2022
266,637,906,1/3/2022,10/3/2022
267,80,619,2/3/2022,22/3/2022
268,349,458,5/3/2022,19/3/2022
269,627,433,3/3/2022,12/3/2022
270,114,598,5/3/2022,17/3/2022
271,401,939,4/3/2022,16/3/2022
272,48,1223,9/3/2022,24/3/2022
273,25,583,2/3/2022,15/3/2022
274,662,494,4/3/2022,22/3/2022
275,124,1381,8/3/2022,25/3/2022
276,416,1499,2/3/2022,16/3/2022
277,104,311,8/3/2022,19/3/2022
278,460,604,6/3/2022,22/3/2022
279,644,830,2/3/2022,11/3/2022
280,689,971,3/3/2022,10/3/2022
281,14,436,4/3/2022,18/3/2022
282,52,839,5/3/2022,18/3/2022
283,43,1136,4/3/2022,12/3/2022
284,309,1268,9/3/2022,12/3/2022
285,55,849,6/3/2022,22/3/2022
286,236,1051,4/3/2022,25/3/2022
287,624,1032,3/3/2022,22/3/2022
288,237,614,7/3/2022,17/3/2022
289,139,481,6/3/2022,19/3/2022
290,59,750,2/3/2022,16/3/2022
291,89,1317,1/3/2022,18/3/2022
292,162,1075,9/3/2022,16/3/2022
293,122,1054,4/3/2022,18/3/2022
294,367,433,4/3/2022,13/3/2022
295,673,481,2/3/2022,18/3/2022
296,547,719,4/3/2022,10/3/2022
297,376,908,4/3/2022,10/3/2022
298,486,517,4/3/2022,20/3/2022
299,144,973,6/3/2022,13/3/2022
300,124,887,8/3/2022,22/3/2022
301,662,371,7/3/2022,15/3/2022
302,207,1481,7/3/2022,22/3/2022
303,320,1027,7/3/2022,17/3/2022
304,620,937,1/3/2022,14/3/2022
305,283,437,1/3/2022,15/3/2022
306,265,398,6/3/2022,19/3/2022
307,288,626,1/3/2022,17/3/2022
308,257,502,6/3/2022,21/3/2022
309,563,770,5/3/2022,15/3/2022
310,153,799,8/3/2022,11/3/2022
311,533,1069,3/3/2022,20/3/2022
312,373,1203,9/3/2022,11/3/2022
313,176,693,8/3/2022,11/3/2022
314,81,578,9/3/2022,19/3/2022
315,293,1314,1/3/2022,20/3/2022
316,150,350,7/3/2022,12/3/2022
317,540,661,2/3/2022,17/3/2022
318,157,1314,5/3/2022,14/3/2022
319,71,366,3/3/2022,17/3/2022
320,271,1148,7/3/2022,15/3/2022
321,647,673,2/3/2022,11/3/2022
322,283,775,9/3/2022,12/3/2022
323,372,859,5/3/2022,25/3/2022
324,134,1414,5/3/2022,24/3/2022
325,493,1142,6/3/2022,16/3/2022
326,106,466,4/3/2022,16/3/2022
327,495,453,8/3/2022,13/3/2022
328,131,1160,7/3/2022,24/3/2022
329,456,590,2/3/2022,23/3/2022
330,629,858,2/3/2022,20/3/2022
331,247,1426,2/3/2022,21/3/2022
332,617,945,4/3/2022,17/3/2022
333,184,1001,6/3/2022,23/3/2022
334,396,473,7/3/2022,10/3/2022
335,328,724,9/3/2022,15/3/2022
336,34,863,3/3/2022,12/3/2022
337,529,843,7/3/2022,23/3/2022
338,450,1193,9/3/2022,18/3/2022
339,556,870,9/3/2022,14/3/2022
340,72,981,3/3/2022,16/3/2022
341,274,1426,8/3/2022,18/3/2022
342,551,448,8/3/2022,12/3/2022
343,603,723,8/3/2022,24/3/2022
344,646,803,1/3/2022,15/3/2022
345,476,791,2/3/2022,24/3/2022
346,280,1482,2/3/2022,24/3/2022
347,239,1089,8/3/2022,18/3/2022
348,516,665,5/3/2022,23/3/2022
349,284,672,7/3/2022,14/3/2022
350,255,1219,8/3/2022,10/3/2022
351,299,659,3/3/2022,18/3/2022
352,204,607,9/3/2022,14/3/2022
353,573,532,9/3/2022,16/3/2022
354,442,1275,1/3/2022,16/3/2022
355,38,751,3/3/2022,18/3/2022
356,267,1178,9/3/2022,10/3/2022
357,22,914,6/3/2022,17/3/2022
358,480,737,8/3/2022,16/3/2022
359,309,455,9/3/2022,22/3/2022
360,349,827,7/3/2022,20/3/2022
361,337,1302,2/3/2022,15/3/2022
362,457,1473,6/3/2022,16/3/2022
363,352,816,8/3/2022,14/3/2022
364,82,1165,5/3/2022,14/3/2022
365,236,558,3/3/2022,25/3/2022
366,239,943,2/3/2022,11/3/2022
367,119,1490,4/3/2022,21/3/2022
368,69,780,5/3/2022,22/3/2022
369,219,1368,9/3/2022,13/3/2022
370,500,1252,2/3/2022,19/3/2022
371,172,591,1/3/2022,18/3/2022
372,141,597,2/3/2022,15/3/2022
373,383,1484,5/3/2022,18/3/2022
374,77,451,5/3/2022,25/3/2022
375,228,427,8/3/2022,10/3/2022
376,504,331,6/3/2022,20/3/2022
