workerId,activityId
172,21
154,12
27,24
211,13
16,10
290,5
8,17
216,23
279,13
47,27
241,16
87,12
100,17
144,1
214,5
12,8
152,19
105,30
112,10
155,13
71,15
101,12
222,21
149,8
187,10
127,6
185,27
67,6
245,29
294,6
106,14
46,29
106,28
142,24
136,26
103,8
172,15
9,9
40,8
138,25
130,7
181,4
268,27
253,15
30,21
17,4
124,30
276,18
38,24
158,29
17,18
86,6
262,5
64,20
96,29
161,23
218,11
211,2
112,10
33,22
93,9
237,13
234,8
96,9
190,11
252,2
236,16
191,28
296,19
247,17
237,19
52,2
190,14
132,15
145,14
195,12
112,6
99,30
74,26
251,19
45,13
273,7
209,4
121,23
170,7
127,24
249,3
268,29
99,3
191,4
171,26
36,21
271,2
145,25
93,10
2,4
15,18
88,7
259,16
168,16
225,14
79,4
44,26
178,28
232,23
298,7
65,21
101,29
201,10
97,5
65,8
96,26
170,22
84,3
300,21
5,16
75,1
44,16
271,12
269,4
145,22
18,28
102,13
79,7
128,11
156,1
79,19
138,14
291,19
110,24
269,15
272,27
121,25
104,18
227,29
204,19
295,8
277,1
55,3
158,29
43,23
247,1
207,8
238,26
227,28
60,14
188,11
136,12
40,24
111,29
20,15
198,30
18,13
144,20
91,27
223,23
98,8
297,24
137,30
97,10
294,9
151,8
225,19
285,9
94,23
16,2
47,28
88,14
109,17
192,8
54,26
7,18
92,23
119,10
235,19
50,17
191,28
59,17
42,9
9,3
162,23
252,18
185,22
223,4
200,27
101,26
55,28
235,5
13,6
86,24
268,12
274,8
110,18
233,5
286,14
150,3
102,18
263,22
178,25
161,20
10,25
56,3
85,10
29,28
295,17
208,4
76,19
12,8
267,4
177,21
17,5
24,25
258,26
229,30
8,17
288,14
89,1
16,1
230,17
216,9
172,24
248,23
129,9
29,2
140,2
200,23
249,1
99,4
266,8
237,25
168,15
32,24
218,23
7,25
262,19
95,30
283,6
6,11
262,26
247,14
43,22
82,12
9,26
128,17
85,17
145,25
108,4
268,29
276,9
113,19
95,9
41,10
5,16
115,27
268,30
179,19
189,28
26,16
185,29
100,13
54,12
287,28
184,21
298,19
18,1
269,16
146,23
88,20
106,8
249,4
266,27
64,6
267,29
220,16
241,26
261,24
211,19
197,26
164,28
133,28
114,6
39,20
107,30
179,20
267,1
287,18
62,26
282,14
4,6
193,25
208,9
135,18
288,30
145,4
49,22
101,26
264,11
231,12
35,11
294,9
119,5
145,2
37,17
179,17
85,9
177,26
72,21
157,7
258,6
159,13
171,9
158,29
197,7
196,21
66,25
64,25
238,12
39,28
249,8
154,15
274,11
34,6
223,12
13,27
294,1
245,28
24,23
149,21
267,24
222,17
291,7
293,24
218,8
232,3
245,12
175,28
190,11
182,19
177,5
161,1
140,26
147,22
293,18
192,28
3,6
42,18
199,1
244,16
299,5
55,16
250,18
275,27
26,16
62,2
106,18
204,29
196,1
59,26
247,6
139,12
76,21
107,24
68,22
181,20
102,18
121,29
294,17
296,22
110,2
253,23
119,26
254,22
194,18
170,21
224,10
57,5
150,28
90,10
68,27
1,14
114,5
78,25
54,21
186,1
292,10
226,8
102,22
25,2
187,17
260,19
300,24
46,18
136,3
1,12
256,15
185,23
64,3
19,8
121,11
203,13
156,19
48,27
297,30
192,7
280,5
80,27
83,11
58,16
102,2
159,11
172,11
163,21
237,9
172,7
174,12
97,16
75,24
157,13
260,30
209,11
141,28
11,23
253,18
285,19
235,28
181,24
134,29
260,24
18,13
56,24
290,16
254,1
102,12
198,21
138,16
239,26
118,28
205,20
131,27
104,6
35,25
172,7
71,10
149,14
289,16
278,8
139,9
185,21
44,29
120,5
70,27
260,25
281,21
42,9
237,30
169,4
203,16
265,3
260,7
247,3
248,27
195,24
196,25
56,1
46,28
299,3
224,4
209,23
119,8
274,1
155,4
158,14
84,18
160,30
273,25
251,3
94,2
288,7
253,19
218,28
111,8
154,17
109,20
1,14
25,15
256,7
4,27
209,1
118,12
255,6
73,12
247,2
97,8
87,24
129,20
222,13
267,11
278,18
68,29
148,30
