customerId,villaID,startDate,finalDate
5,3,8/3/2022,18/3/2022
513,211,1/3/2022,19/3/2022
119,159,1/3/2022,16/3/2022
227,118,5/3/2022,17/3/2022
536,142,2/3/2022,12/3/2022
96,265,3/3/2022,25/3/2022
663,5,7/3/2022,25/3/2022
113,288,8/3/2022,23/3/2022
181,58,2/3/2022,10/3/2022
355,200,5/3/2022,10/3/2022
417,299,7/3/2022,18/3/2022
658,128,3/3/2022,11/3/2022
102,265,5/3/2022,25/3/2022
255,247,9/3/2022,11/3/2022
416,101,4/3/2022,24/3/2022
67,48,8/3/2022,23/3/2022
67,122,6/3/2022,21/3/2022
539,168,2/3/2022,15/3/2022
499,41,5/3/2022,11/3/2022
283,259,5/3/2022,24/3/2022
607,32,2/3/2022,16/3/2022
333,150,4/3/2022,16/3/2022
387,193,7/3/2022,14/3/2022
662,289,4/3/2022,23/3/2022
100,206,7/3/2022,12/3/2022
125,77,1/3/2022,20/3/2022
199,55,6/3/2022,24/3/2022
517,32,6/3/2022,12/3/2022
102,117,9/3/2022,22/3/2022
434,85,4/3/2022,16/3/2022
684,248,2/3/2022,15/3/2022
420,299,1/3/2022,11/3/2022
142,113,3/3/2022,21/3/2022
402,70,1/3/2022,13/3/2022
16,161,2/3/2022,14/3/2022
504,288,2/3/2022,15/3/2022
529,239,1/3/2022,17/3/2022
365,265,3/3/2022,13/3/2022
179,282,8/3/2022,25/3/2022
302,248,6/3/2022,23/3/2022
12,52,2/3/2022,19/3/2022
567,275,5/3/2022,12/3/2022
604,29,8/3/2022,15/3/2022
528,155,8/3/2022,23/3/2022
284,5,9/3/2022,19/3/2022
289,50,8/3/2022,16/3/2022
309,59,2/3/2022,16/3/2022
686,211,5/3/2022,22/3/2022
431,220,9/3/2022,10/3/2022
25,121,7/3/2022,12/3/2022
422,223,8/3/2022,11/3/2022
47,276,8/3/2022,16/3/2022
105,235,1/3/2022,16/3/2022
348,281,2/3/2022,17/3/2022
272,138,4/3/2022,22/3/2022
175,90,4/3/2022,22/3/2022
654,135,2/3/2022,18/3/2022
677,203,3/3/2022,16/3/2022
510,206,4/3/2022,23/3/2022
356,273,9/3/2022,18/3/2022
122,47,7/3/2022,19/3/2022
527,123,9/3/2022,16/3/2022
176,182,8/3/2022,20/3/2022
29,222,8/3/2022,15/3/2022
316,25,3/3/2022,16/3/2022
323,156,2/3/2022,18/3/2022
506,92,5/3/2022,23/3/2022
50,203,5/3/2022,15/3/2022
403,78,2/3/2022,13/3/2022
2,94,2/3/2022,16/3/2022
124,33,8/3/2022,21/3/2022
77,18,4/3/2022,12/3/2022
146,290,8/3/2022,15/3/2022
674,250,9/3/2022,17/3/2022
317,293,2/3/2022,19/3/2022
303,179,4/3/2022,17/3/2022
528,54,2/3/2022,22/3/2022
487,154,2/3/2022,16/3/2022
689,138,9/3/2022,10/3/2022
341,254,9/3/2022,17/3/2022
188,259,6/3/2022,22/3/2022
120,260,3/3/2022,22/3/2022
372,292,4/3/2022,10/3/2022
139,3,5/3/2022,15/3/2022
551,226,1/3/2022,25/3/2022
463,184,9/3/2022,14/3/2022
254,16,7/3/2022,22/3/2022
419,165,7/3/2022,23/3/2022
123,222,7/3/2022,20/3/2022
549,40,4/3/2022,18/3/2022
505,164,8/3/2022,21/3/2022
412,281,5/3/2022,17/3/2022
662,25,3/3/2022,19/3/2022
352,284,2/3/2022,12/3/2022
529,157,9/3/2022,10/3/2022
40,275,2/3/2022,15/3/2022
377,243,2/3/2022,21/3/2022
466,163,4/3/2022,23/3/2022
86,92,2/3/2022,16/3/2022
294,193,8/3/2022,15/3/2022
46,244,8/3/2022,22/3/2022
689,164,9/3/2022,13/3/2022
210,89,8/3/2022,13/3/2022
170,226,9/3/2022,21/3/2022
340,252,9/3/2022,11/3/2022
546,7,6/3/2022,17/3/2022
333,291,7/3/2022,23/3/2022
209,129,4/3/2022,19/3/2022
583,171,1/3/2022,19/3/2022
675,7,9/3/2022,25/3/2022
100,224,4/3/2022,22/3/2022
335,191,9/3/2022,12/3/2022
208,188,4/3/2022,21/3/2022
680,213,8/3/2022,23/3/2022
392,131,2/3/2022,15/3/2022
697,205,5/3/2022,12/3/2022
531,194,2/3/2022,10/3/2022
480,204,6/3/2022,22/3/2022
9,5,9/3/2022,20/3/2022
152,218,3/3/2022,25/3/2022
257,117,2/3/2022,25/3/2022
108,264,5/3/2022,12/3/2022
694,98,6/3/2022,14/3/2022
267,223,7/3/2022,20/3/2022
334,203,3/3/2022,24/3/2022
39,59,1/3/2022,21/3/2022
543,106,4/3/2022,25/3/2022
451,146,8/3/2022,18/3/2022
57,245,3/3/2022,11/3/2022
420,102,3/3/2022,18/3/2022
450,236,8/3/2022,13/3/2022
164,27,7/3/2022,16/3/2022
655,299,2/3/2022,23/3/2022
70,211,3/3/2022,15/3/2022
182,25,1/3/2022,17/3/2022
257,92,4/3/2022,11/3/2022
162,140,1/3/2022,25/3/2022
73,74,3/3/2022,11/3/2022
203,257,6/3/2022,16/3/2022
166,246,5/3/2022,18/3/2022
445,230,1/3/2022,25/3/2022
606,226,9/3/2022,25/3/2022
178,32,9/3/2022,14/3/2022
124,156,2/3/2022,13/3/2022
549,277,2/3/2022,25/3/2022
608,40,9/3/2022,19/3/2022
656,193,9/3/2022,11/3/2022
215,147,7/3/2022,24/3/2022
304,228,5/3/2022,13/3/2022
295,139,9/3/2022,21/3/2022
405,134,1/3/2022,24/3/2022
493,156,1/3/2022,19/3/2022
81,43,1/3/2022,11/3/2022
425,137,5/3/2022,13/3/2022
307,58,9/3/2022,17/3/2022
96,87,4/3/2022,21/3/2022
153,153,9/3/2022,16/3/2022
412,62,9/3/2022,20/3/2022
29,153,4/3/2022,10/3/2022
524,183,4/3/2022,24/3/2022
501,55,2/3/2022,22/3/2022
665,241,4/3/2022,13/3/2022
390,237,7/3/2022,24/3/2022
255,16,1/3/2022,14/3/2022
4,279,6/3/2022,14/3/2022
295,42,4/3/2022,23/3/2022
45,42,4/3/2022,16/3/2022
444,298,9/3/2022,17/3/2022
66,51,3/3/2022,15/3/2022
690,252,1/3/2022,21/3/2022
618,127,5/3/2022,13/3/2022
515,140,7/3/2022,15/3/2022
565,31,7/3/2022,13/3/2022
246,43,7/3/2022,16/3/2022
561,78,5/3/2022,11/3/2022
475,148,6/3/2022,15/3/2022
693,158,9/3/2022,19/3/2022
584,79,5/3/2022,16/3/2022
457,265,5/3/2022,21/3/2022
487,103,1/3/2022,13/3/2022
592,105,7/3/2022,12/3/2022
63,221,4/3/2022,14/3/2022
571,44,4/3/2022,11/3/2022
688,262,1/3/2022,15/3/2022
10,295,6/3/2022,10/3/2022
551,58,3/3/2022,21/3/2022
255,194,6/3/2022,16/3/2022
488,4,4/3/2022,11/3/2022
272,235,6/3/2022,15/3/2022
415,15,7/3/2022,15/3/2022
643,17,4/3/2022,22/3/2022
289,275,3/3/2022,18/3/2022
515,290,3/3/2022,14/3/2022
522,104,9/3/2022,20/3/2022
665,161,7/3/2022,17/3/2022
576,45,7/3/2022,22/3/2022
132,74,6/3/2022,14/3/2022
93,251,9/3/2022,23/3/2022
662,76,4/3/2022,17/3/2022
1,75,6/3/2022,13/3/2022
