vilaId,numOfRoom,pricePerNight
1,4,1473
2,3,1053
3,3,1338
4,6,1376
5,4,1158
6,6,908
7,2,958
8,4,1101
9,5,1261
10,3,1040
11,4,1127
12,3,997
13,6,1471
14,5,1156
15,4,887
16,2,1236
17,2,1197
18,3,1128
19,5,1187
20,3,926
21,3,1383
22,2,874
23,4,1277
24,3,908
25,4,1078
26,4,802
27,4,1356
28,3,940
29,2,941
30,3,887
31,4,1228
32,2,1353
33,4,884
34,4,1400
35,4,1016
36,6,1118
37,3,1453
38,5,1497
39,6,1319
40,5,1230
41,3,1332
42,6,952
43,5,904
44,6,1201
45,5,903
46,3,1219
47,2,1007
48,2,894
49,2,1240
50,3,1240
51,6,1219
52,5,1324
53,6,1138
54,6,919
55,3,1131
56,3,1134
57,4,1042
58,2,1278
59,2,881
60,4,1357
61,4,1217
62,4,1009
63,2,1333
64,4,1040
65,6,1082
66,3,1028
67,6,1214
68,3,899
69,4,1296
70,5,876
71,5,1124
72,6,1299
73,2,980
74,2,1341
75,4,1204
76,5,1131
77,5,1193
78,5,979
79,3,1425
80,2,1120
81,2,1237
82,5,1365
83,2,801
84,4,1136
85,3,1316
86,6,875
87,4,1019
88,5,1227
89,2,971
90,2,885
91,2,1180
92,4,884
93,2,1359
94,3,1480
95,4,867
96,4,1317
97,6,1026
98,5,1005
99,2,997
100,2,1295
101,5,973
102,4,887
103,2,1206
104,4,1046
105,3,1384
106,6,1180
107,5,1040
108,2,1049
109,4,961
110,4,965
111,2,1283
112,4,1242
113,4,1054
114,6,1114
115,2,1318
116,4,1067
117,5,1173
118,3,1283
119,6,888
120,4,906
121,5,1388
122,6,935
123,3,1058
124,3,1476
125,2,1205
126,3,1439
127,2,964
128,6,1046
129,6,1104
130,2,1439
131,5,925
132,6,1172
133,6,1371
134,2,1442
135,4,1330
136,6,865
137,3,1124
138,3,1059
139,3,1037
140,4,850
141,5,1441
142,6,984
143,2,1154
144,4,1285
145,5,986
146,6,1073
147,3,1467
148,2,1280
149,2,1332
150,5,1108
151,4,1067
152,3,829
153,6,950
154,4,1290
155,5,982
156,6,1144
157,2,1146
158,2,1315
159,3,1369
160,2,972
161,3,1185
162,3,851
163,6,974
164,3,1042
165,4,1125
166,2,1049
167,3,837
168,2,1349
169,5,1067
170,4,1362
171,3,854
172,2,976
173,2,1451
174,3,876
175,5,1029
176,6,1354
177,3,819
178,6,932
179,2,864
180,3,800
181,2,1149
182,6,1089
183,6,1388
184,4,1189
185,4,845
186,4,1061
187,3,1417
188,5,962
189,6,1446
190,5,1378
191,4,1118
192,2,963
193,4,1256
194,2,1400
195,3,1331
196,6,1149
197,6,887
198,6,1150
199,5,1011
200,5,1396
201,5,1153
202,5,1175
203,2,1092
204,2,883
205,6,1445
206,6,805
207,5,800
208,6,1023
209,5,1346
210,2,1283
211,4,1497
212,4,1399
213,6,1161
214,4,911
215,2,1020
216,4,1173
217,5,1465
218,5,1410
219,6,988
220,4,1308
221,5,955
222,5,806
223,5,1429
224,6,862
225,4,1494
226,5,1238
227,4,1358
228,5,1480
229,4,1476
230,3,1154
231,4,1149
232,2,1357
233,4,1134
234,6,841
235,3,1128
236,6,1413
237,6,812
238,5,1457
239,5,1032
240,3,861
241,6,1471
242,5,1487
243,3,1207
244,6,1390
245,4,1454
246,3,1181
247,4,1323
248,3,1377
249,5,967
250,4,1404
251,5,802
252,4,1385
253,4,1321
254,4,1068
255,2,865
256,3,910
257,2,952
258,3,1285
259,4,1237
260,2,870
261,4,1458
262,6,812
263,5,867
264,4,1051
265,3,1149
266,3,1414
267,4,1048
268,6,959
269,4,820
270,6,816
271,2,988
272,3,1378
273,5,884
274,5,1174
275,3,894
276,5,1175
277,4,913
278,4,1270
279,6,1499
280,2,1173
281,6,1321
282,4,895
283,4,948
284,4,1350
285,5,805
286,4,1335
287,4,987
288,6,948
289,6,854
290,2,1139
291,4,1010
292,4,909
293,6,909
294,5,937
295,6,1310
296,2,1313
297,5,1004
298,5,1475
299,6,1099
300,4,1216
